date,product,sales,quantity,region,processed_at,source_file,id,name,price,category,rating,stock,date_added
2026-01-01,B,746.0,8.0,East,2026-04-11 17:51:31.706329,sample_sales.csv,,,,,,,
2026-01-02,B,120.0,47.0,West,2026-04-11 17:51:31.706329,sample_sales.csv,,,,,,,
2026-01-03,A,940.0,35.0,East,2026-04-11 17:51:31.706329,sample_sales.csv,,,,,,,
2026-01-04,A,266.0,14.0,West,2026-04-11 17:51:31.706329,sample_sales.csv,,,,,,,
2026-01-05,A,373.0,17.0,South,2026-04-11 17:51:31.706329,sample_sales.csv,,,,,,,
2026-01-06,C,487.0,36.0,East,2026-04-11 17:51:31.706329,sample_sales.csv,,,,,,,
2026-01-07,C,700.0,40.0,West,2026-04-11 17:51:31.706329,sample_sales.csv,,,,,,,
2026-01-08,C,415.0,4.0,North,2026-04-11 17:51:31.706329,sample_sales.csv,,,,,,,
2026-01-09,B,113.0,2.0,South,2026-04-11 17:51:31.706329,sample_sales.csv,,,,,,,
2026-01-10,C,341.0,6.0,West,2026-04-11 17:51:31.706329,sample_sales.csv,,,,,,,
2026-01-11,B,876.0,42.0,North,2026-04-11 17:51:31.706329,sample_sales.csv,,,,,,,
2026-01-12,B,445.0,4.0,West,2026-04-11 17:51:31.706329,sample_sales.csv,,,,,,,
2026-01-13,C,664.0,29.0,North,2026-04-11 17:51:31.706329,sample_sales.csv,,,,,,,
2026-01-14,B,997.0,18.0,South,2026-04-11 17:51:31.706329,sample_sales.csv,,,,,,,
2026-01-15,C,439.0,26.0,East,2026-04-11 17:51:31.706329,sample_sales.csv,,,,,,,
2026-01-16,C,191.0,44.0,North,2026-04-11 17:51:31.706329,sample_sales.csv,,,,,,,
2026-01-17,A,466.0,34.0,West,2026-04-11 17:51:31.706329,sample_sales.csv,,,,,,,
2026-01-18,C,554.0,10.0,South,2026-04-11 17:51:31.706329,sample_sales.csv,,,,,,,
2026-01-19,A,527.0,36.0,North,2026-04-11 17:51:31.706329,sample_sales.csv,,,,,,,
2026-01-20,C,608.0,14.0,West,2026-04-11 17:51:31.706329,sample_sales.csv,,,,,,,
,,,,,2026-04-11 17:51:31.708007,barbie.csv,1.0,Barbie Doll Classic,29.99,Dolls,4.5,150.0,2026-01-15
,,,,,2026-04-11 17:51:31.708007,barbie.csv,2.0,Barbie Dreamhouse,199.99,Playsets,4.8,45.0,2026-01-20
,,,,,2026-04-11 17:51:31.708007,barbie.csv,3.0,Barbie Fashion Pack,19.99,Accessories,4.2,200.0,2026-02-01
,,,,,2026-04-11 17:51:31.708007,barbie.csv,4.0,Barbie Convertible,49.99,Vehicles,4.6,80.0,2026-02-10
,,,,,2026-04-11 17:51:31.708007,barbie.csv,5.0,Barbie Career Set,39.99,Dolls,4.4,120.0,2026-02-15
,,,,,2026-04-11 17:51:31.708007,barbie.csv,6.0,Barbie Pet Collection,24.99,Pets,4.3,95.0,2026-03-01
,,,,,2026-04-11 17:51:31.708007,barbie.csv,7.0,Barbie Castle Playset,149.99,Playsets,4.7,30.0,2026-03-05
,,,,,2026-04-11 17:51:31.708007,barbie.csv,8.0,Barbie Boat,59.99,Vehicles,4.1,60.0,2026-03-10
,,,,,2026-04-11 17:51:31.708007,barbie.csv,9.0,Barbie Wardrobe,34.99,Accessories,4.5,110.0,2026-03-15
,,,,,2026-04-11 17:51:31.708007,barbie.csv,10.0,Barbie Horse,44.99,Pets,4.6,75.0,2026-03-20
